i, x0_1, x0_2, x0_3,x0_4, x1_1, x1_2, x1_3,x1_4, Δx_1, Δx_2, Δx_3,Δx_4, ϵ0
0, -0.5, -1, 0.625, -0.666667, -0.298611, -1.19792, 0.645833, 0.166667, 0.201389, -0.197917, 0.0208333, 0.833333, 0.880118, 
1, -0.298611, -1.19792, 0.645833, 0.166667, -0.149306, -1.04514, 0.416667, 0.231481, 0.149306, 0.152778, -0.229167, 0.0648148, 0.319924, 
2, -0.149306, -1.04514, 0.416667, 0.231481, -0.253086, -1.00897, 0.39077, 0.0798611, -0.103781, 0.036169, -0.025897, -0.15162, 0.189045, 
3, -0.253086, -1.00897, 0.39077, 0.0798611, -0.291305, -1.01446, 0.457682, 0.0903421, -0.0382186, -0.00548563, 0.0669126, 0.010481, 0.0779609, 
4, -0.291305, -1.01446, 0.457682, 0.0903421, -0.256102, -1.01901, 0.469333, 0.106739, 0.0352031, -0.00455327, 0.0116504, 0.0163966, 0.0407992, 
5, -0.256102, -1.01901, 0.469333, 0.106739, -0.247544, -1.02662, 0.452944, 0.0980398, 0.00855798, -0.00761424, -0.0163891, -0.00869886, 0.0218057, 
6, -0.247544, -1.02662, 0.452944, 0.0980398, -0.257188, -1.02684, 0.448918, 0.100263, -0.00964435, -0.000216944, -0.00402545, 0.0022235, 0.0106868, 
7, -0.257188, -1.02684, 0.448918, 0.100263, -0.25883, -1.02287, 0.452203, 0.103623, -0.00164214, 0.00397332, 0.00328446, 0.00335941, 0.00636845, 
8, -0.25883, -1.02287, 0.452203, 0.103623, -0.256628, -1.02244, 0.453392, 0.101521, 0.00220213, 0.000429274, 0.00118921, -0.0021015, 0.00329608, 
9, -0.256628, -1.02244, 0.453392, 0.101521, -0.256384, -1.02381, 0.452936, 0.100501, 0.000244353, -0.00137321, -0.000455793, -0.00102023, 0.00178718, 
10, -0.256384, -1.02381, 0.452936, 0.100501, -0.256782, -1.02401, 0.452629, 0.101335, -0.000397934, -0.000202197, -0.000307407, 0.000834022, 0.000994649, 
11, -0.256782, -1.02401, 0.452629, 0.101335, -0.256796, -1.02363, 0.452623, 0.101602, -1.46996e-05, 0.000384841, -5.57668e-06, 0.000267442, 0.000468908, 
12, -0.256796, -1.02363, 0.452623, 0.101602, -0.256755, -1.02356, 0.452691, 0.101351, 4.17854e-05, 7.19297e-05, 6.82922e-05, -0.000251661, 0.000273709, 
13, -0.256755, -1.02356, 0.452691, 0.101351, -0.256763, -1.02365, 0.452725, 0.101289, -7.79732e-06, -9.04345e-05, 3.37705e-05, -6.18816e-05, 0.00011493, 
14, -0.256763, -1.02365, 0.452725, 0.101289, -0.256756, -1.02367, 0.452713, 0.101352, 6.57164e-06, -2.19637e-05, -1.19494e-05, 6.28888e-05, 6.79954e-05, 
15, -0.256756, -1.02367, 0.452713, 0.101352, -0.256751, -1.02365, 0.452697, 0.101364, 4.50674e-06, 1.70667e-05, -1.58164e-05, 1.24519e-05, 2.67729e-05, 
16, -0.256751, -1.02365, 0.452697, 0.101364, -0.256757, -1.02365, 0.452698, 0.101351, -5.83287e-06, 5.94039e-06, 1.02015e-06, -1.288e-05, 1.53703e-05, 
17, -0.256757, -1.02365, 0.452698, 0.101351, -0.256759, -1.02365, 0.452704, 0.101349, -1.6366e-06, -2.01682e-06, 5.28243e-06, -2.01597e-06, 6.22207e-06, 
0, -0.5, -1, 0.625, -0.666667, -0.298611, -1.19792, 0.645833, 0.166667, 0.201389, -0.197917, 0.0208333, 0.833333, 0.880118, 
1, -0.298611, -1.19792, 0.645833, 0.166667, -0.149306, -1.04514, 0.416667, 0.231481, 0.149306, 0.152778, -0.229167, 0.0648148, 0.319924, 
2, -0.149306, -1.04514, 0.416667, 0.231481, -0.253086, -1.00897, 0.39077, 0.0798611, -0.103781, 0.036169, -0.025897, -0.15162, 0.189045, 
3, -0.253086, -1.00897, 0.39077, 0.0798611, -0.291305, -1.01446, 0.457682, 0.0903421, -0.0382186, -0.00548563, 0.0669126, 0.010481, 0.0779609, 
4, -0.291305, -1.01446, 0.457682, 0.0903421, -0.256102, -1.01901, 0.469333, 0.106739, 0.0352031, -0.00455327, 0.0116504, 0.0163966, 0.0407992, 
5, -0.256102, -1.01901, 0.469333, 0.106739, -0.247544, -1.02662, 0.452944, 0.0980398, 0.00855798, -0.00761424, -0.0163891, -0.00869886, 0.0218057, 
6, -0.247544, -1.02662, 0.452944, 0.0980398, -0.257188, -1.02684, 0.448918, 0.100263, -0.00964435, -0.000216944, -0.00402545, 0.0022235, 0.0106868, 
7, -0.257188, -1.02684, 0.448918, 0.100263, -0.25883, -1.02287, 0.452203, 0.103623, -0.00164214, 0.00397332, 0.00328446, 0.00335941, 0.00636845, 
8, -0.25883, -1.02287, 0.452203, 0.103623, -0.256628, -1.02244, 0.453392, 0.101521, 0.00220213, 0.000429274, 0.00118921, -0.0021015, 0.00329608, 
9, -0.256628, -1.02244, 0.453392, 0.101521, -0.256384, -1.02381, 0.452936, 0.100501, 0.000244353, -0.00137321, -0.000455793, -0.00102023, 0.00178718, 
10, -0.256384, -1.02381, 0.452936, 0.100501, -0.256782, -1.02401, 0.452629, 0.101335, -0.000397934, -0.000202197, -0.000307407, 0.000834022, 0.000994649, 
11, -0.256782, -1.02401, 0.452629, 0.101335, -0.256796, -1.02363, 0.452623, 0.101602, -1.46996e-05, 0.000384841, -5.57668e-06, 0.000267442, 0.000468908, 
12, -0.256796, -1.02363, 0.452623, 0.101602, -0.256755, -1.02356, 0.452691, 0.101351, 4.17854e-05, 7.19297e-05, 6.82922e-05, -0.000251661, 0.000273709, 
13, -0.256755, -1.02356, 0.452691, 0.101351, -0.256763, -1.02365, 0.452725, 0.101289, -7.79732e-06, -9.04345e-05, 3.37705e-05, -6.18816e-05, 0.00011493, 
14, -0.256763, -1.02365, 0.452725, 0.101289, -0.256756, -1.02367, 0.452713, 0.101352, 6.57164e-06, -2.19637e-05, -1.19494e-05, 6.28888e-05, 6.79954e-05, 
15, -0.256756, -1.02367, 0.452713, 0.101352, -0.256751, -1.02365, 0.452697, 0.101364, 4.50674e-06, 1.70667e-05, -1.58164e-05, 1.24519e-05, 2.67729e-05, 
16, -0.256751, -1.02365, 0.452697, 0.101364, -0.256757, -1.02365, 0.452698, 0.101351, -5.83287e-06, 5.94039e-06, 1.02015e-06, -1.288e-05, 1.53703e-05, 
17, -0.256757, -1.02365, 0.452698, 0.101351, -0.256759, -1.02365, 0.452704, 0.101349, -1.6366e-06, -2.01682e-06, 5.28243e-06, -2.01597e-06, 6.22207e-06, 
